species,state,I_1_1987,I_2_1987,I_3_1987,I_4_1987,II_1_1987,II_2_1987,II_3_1987,II_4_1987,III_1_1987,III_2_1987,III_3_1987,III_4_1987,IV_1_1987,IV_2_1987,IV_3_1987,IV_4_1987,V_1_1987,V_2_1987,V_3_1987,V_4_1987,I_1_1988,I_2_1988,I_3_1988,I_4_1988,II_1_1988,II_2_1988,II_3_1988,II_4_1988,III_1_1988,III_2_1988,III_3_1988,III_4_1988,IV_1_1988,IV_2_1988,IV_3_1988,IV_4_1988,V_1_1988,V_2_1988,V_3_1988,V_4_1988,I_1_1989,I_2_1989,I_3_1989,I_4_1989,II_1_1989,II_2_1989,II_3_1989,II_4_1989,III_1_1989,III_2_1989,III_3_1989,III_4_1989,IV_1_1989,IV_2_1989,IV_3_1989,IV_4_1989,V_1_1989,V_2_1989,V_3_1989,V_4_1989,I_1_1990,I_2_1990,I_3_1990,I_4_1990,II_1_1990,II_2_1990,II_3_1990,II_4_1990,III_1_1990,III_2_1990,III_3_1990,III_4_1990,IV_1_1990,IV_2_1990,IV_3_1990,IV_4_1990,V_1_1990,V_2_1990,V_3_1990,V_4_1990
.Agrostis vinealis Schreb.,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0
.Agrostis vinealis Schreb.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Anemone speciosa Adam ex G.Pritz,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Antennaria dioica (L.) Gaertn.,v,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,v,0,0,0,0,0,0,0,0,1,0,3,4,2,3,4,1,2,10,0,0,0,0,0,0,0,0,0,0,1,0,3,6,2,0,1,4,0,12,0,0,0,0,0,0,0,0,0,0,3,0,7,9,2,0,1,1,2,14,0,1,0,0,0,0,0,0,0,0,2,0,6,5,1,0,1,4,0,11,0,1
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Anthoxanthum odoratum L.,v,0,0,0,0,0,0,0,0,0,3,4,10,10,4,0,4,5,2,0,3,0,0,0,0,0,0,0,0,0,6,5,6,0,0,5,2,4,4,0,2,0,0,0,0,0,0,0,0,0,5,6,14,11,0,3,4,5,7,0,5,1,0,1,0,0,0,0,0,0,13,9,11,8,0,7,7,0,9,0,1
.Anthoxanthum odoratum L.,g,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0
.Bromus variegatus Bieb.,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Bromus variegatus Bieb.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Calamagrostis arundinacea (L.) Roth.,v,44,58,86,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,71,94,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,81,122,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,78,134,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Calamagrostis arundinacea (L.) Roth.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Campanula collina Bieb.,j,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0
.Campanula collina Bieb.,v,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,3,0,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
.Campanula collina Bieb.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Campanula tridentata Schreb.,j,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Campanula tridentata Schreb.,v,0,0,0,0,0,0,0,0,2,1,2,6,3,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,4,0,6,3,0,0,0,0
.Campanula tridentata Schreb.,g,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
.Carex atrata L.,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1
.Carex atrata L.,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Carex umbrosa Host,v,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0
.Carex umbrosa Host,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.Carum caucasicum,j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Carum meifolium (Bieb.) Boiss.,j,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Carum meifolium (Bieb.) Boiss.,v,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
.Carum meifolium (Bieb.) Boiss.,g,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Cerastium purpurascens Adams,j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Cerastium purpurascens Adams,v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Cerastium purpurascens Adams,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
